,gds,csb,cgs,cgd,cgg,cgb,capbs,cdb,w,vbs,vsd,l,vsg
64,0.002289,1.093e-15,2.18e-15,2.18e-15,4.418e-15,5.818e-17,9.284e-16,1.093e-15,2.2999999999999996e-06,0.0,0.0,90.0,0.7
65,0.002657,1.096e-15,2.218e-15,2.218e-15,4.488e-15,5.201e-17,9.284e-16,1.096e-15,2.2999999999999996e-06,0.0,0.0,90.0,0.75
66,0.002991,1.098e-15,2.248e-15,2.248e-15,4.544e-15,4.708e-17,9.284e-16,1.098e-15,2.2999999999999996e-06,0.0,0.0,90.0,0.8
67,0.003289,1.1e-15,2.272e-15,2.272e-15,4.588e-15,4.305e-17,9.284e-16,1.1e-15,2.2999999999999996e-06,0.0,0.0,90.0,0.85
68,0.003554,1.101e-15,2.292e-15,2.292e-15,4.624e-15,3.968e-17,9.284e-16,1.101e-15,2.2999999999999996e-06,0.0,0.0,90.0,0.9
69,0.003788,1.102e-15,2.308e-15,2.308e-15,4.653e-15,3.683e-17,9.284e-16,1.102e-15,2.2999999999999996e-06,0.0,0.0,90.0,0.95
70,0.003993,1.103e-15,2.321e-15,2.321e-15,4.676e-15,3.439e-17,9.284e-16,1.103e-15,2.2999999999999996e-06,0.0,0.0,90.0,1.0
71,0.004172,1.104e-15,2.332e-15,2.332e-15,4.696e-15,3.227e-17,9.284e-16,1.104e-15,2.2999999999999996e-06,0.0,0.0,90.0,1.05
72,0.004328,1.105e-15,2.34e-15,2.34e-15,4.711e-15,3.041e-17,9.284e-16,1.105e-15,2.2999999999999996e-06,0.0,0.0,90.0,1.1
73,0.004464,1.105e-15,2.348e-15,2.348e-15,4.724e-15,2.877e-17,9.284e-16,1.105e-15,2.2999999999999996e-06,0.0,0.0,90.0,1.15
74,0.004581,1.106e-15,2.354e-15,2.354e-15,4.735e-15,2.731e-17,9.284e-16,1.106e-15,2.2999999999999996e-06,0.0,0.0,90.0,1.2
