,vearly,vdsat,self_gain,region,id,gmoverid,gmbs,gm,gds,ft,csb,cgs,cgd,cdb,vbs,w,l,vsd,vsg,vsdat,cgb,cds
66,0.4022,-0.2143,1.454,1.0,-0.0004719,3.616,0.0001447,0.001706,0.001173,90180000000.0,8.092e-16,1.851e-15,1.119e-15,7.445e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.2,0.8,,,
67,0.3652,-0.2382,1.058,1.0,-0.0005545,2.896,0.000138,0.001606,0.001518,82810000000.0,8.114e-16,1.84e-15,1.212e-15,7.477e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.2,0.85,,,
68,0.3397,-0.263,0.8002,1.0,-0.0006316,2.356,0.000129,0.001488,0.001859,75320000000.0,8.131e-16,1.829e-15,1.284e-15,7.501e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.2,0.9,,,
69,0.3208,-0.2884,0.6227,1.0,-0.0007027,1.941,0.0001188,0.001364,0.002191,68090000000.0,8.144e-16,1.82e-15,1.341e-15,7.519e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.2,0.95,,,
70,0.3058,-0.3145,0.4944,1.0,-0.0007675,1.617,0.0001081,0.001241,0.00251,61270000000.0,8.155e-16,1.813e-15,1.386e-15,7.533e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.2,1.0,,,
71,0.2935,-0.341,0.3987,1.0,-0.0008263,1.358,9.739e-05,0.001122,0.002815,54950000000.0,8.163e-16,1.806e-15,1.422e-15,7.544e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.2,1.05,,,
72,0.2833,-0.368,0.3256,1.0,-0.0008793,1.149,8.691e-05,0.001011,0.003104,49140000000.0,8.17e-16,1.8e-15,1.452e-15,7.553e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.2,1.1,,,
73,0.2747,-0.3953,0.2687,1.0,-0.0009269,0.9781,7.683e-05,0.0009066,0.003375,43840000000.0,8.176e-16,1.795e-15,1.477e-15,7.56e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.2,1.15,,,
74,0.2673,-0.423,0.2236,1.0,-0.0009696,0.8363,6.724e-05,0.0008109,0.003627,39040000000.0,8.181e-16,1.791e-15,1.497e-15,7.566e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.2,1.2,,,
75,0.5499,-0.08443,16.46,0.0,-4.328e-11,29.93,7.186e-11,8.49e-10,5.158e-11,131000.0,7.243e-16,4.133e-16,3.846e-16,6.41e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.3,0.0,,,
